direction,entry_type,exit_type,entry_dt,entry_px,exit_dt,exit_px,pnl
SHORT,SELL_A,OPP_SIGNAL,2025-07-23 02:00:00+00:00,119173,2025-07-24 10:00:00+00:00,118573,42.112700000000004
LONG,BUY_A,OPP_SIGNAL,2025-07-24 10:00:00+00:00,118573,2025-07-25 00:00:00+00:00,117573,-117.8073
SHORT,SELL_A,OPP_SIGNAL,2025-07-25 00:00:00+00:00,117573,2025-07-25 16:00:00+00:00,115973,142.3227
LONG,BUY_A,OPP_SIGNAL,2025-07-25 16:00:00+00:00,115973,2025-07-27 08:00:00+00:00,117973,182.3027
SHORT,SELL_A,OPP_SIGNAL,2025-07-27 08:00:00+00:00,117973,2025-07-28 18:00:00+00:00,117973,-17.7973
LONG,BUY_B,OPP_SIGNAL,2025-07-28 18:00:00+00:00,117973,2025-07-30 18:00:00+00:00,117373,-77.7673
SHORT,SELL_A,OPP_SIGNAL,2025-07-30 18:00:00+00:00,117373,2025-07-30 22:00:00+00:00,117373,-17.7373
LONG,BUY_A,OPP_SIGNAL,2025-07-30 22:00:00+00:00,117373,2025-08-01 12:00:00+00:00,114973,-257.6173
SHORT,SELL_B,OPP_SIGNAL,2025-08-01 12:00:00+00:00,114973,2025-08-02 00:00:00+00:00,113573,122.5727
LONG,BUY_A,OPP_SIGNAL,2025-08-02 00:00:00+00:00,113573,2025-08-05 14:00:00+00:00,114173,42.612700000000004
SHORT,SELL_A,OPP_SIGNAL,2025-08-05 14:00:00+00:00,114173,2025-08-06 04:00:00+00:00,113973,2.592699999999999
LONG,BUY_A,OPP_SIGNAL,2025-08-06 04:00:00+00:00,113973,2025-08-09 00:00:00+00:00,116573,242.4727
SHORT,SELL_A,OPP_SIGNAL,2025-08-09 00:00:00+00:00,116573,2025-08-12 18:00:00+00:00,119573,-317.8073
LONG,BUY_A,OPP_SIGNAL,2025-08-12 18:00:00+00:00,119573,2025-08-13 00:00:00+00:00,119773,2.0326999999999984
SHORT,SELL_A,OPP_SIGNAL,2025-08-13 00:00:00+00:00,119773,2025-08-16 00:00:00+00:00,117373,222.1427
LONG,BUY_A,OPP_SIGNAL,2025-08-16 00:00:00+00:00,117373,2025-08-18 06:00:00+00:00,115373,-217.6373
SHORT,SELL_B,OPP_SIGNAL,2025-08-18 06:00:00+00:00,115373,2025-08-20 14:00:00+00:00,113173,202.57270000000003
LONG,BUY_A,OPP_SIGNAL,2025-08-20 14:00:00+00:00,113173,2025-08-24 02:00:00+00:00,115173,182.58270000000002
SHORT,SELL_A,OPP_SIGNAL,2025-08-24 02:00:00+00:00,115173,2025-08-25 14:00:00+00:00,111973,302.6427
LONG,BUY_A,OPP_SIGNAL,2025-08-25 14:00:00+00:00,111973,2025-08-29 00:00:00+00:00,111973,-17.1973
SHORT,SELL_A,OPP_SIGNAL,2025-08-29 00:00:00+00:00,111973,2025-09-01 06:00:00+00:00,108573,322.9727
LONG,BUY_A,OPP_SIGNAL,2025-09-01 06:00:00+00:00,108573,2025-09-03 04:00:00+00:00,110973,223.0227
SHORT,SELL_A,OPP_SIGNAL,2025-09-03 04:00:00+00:00,110973,2025-09-05 06:00:00+00:00,112573,-177.1773
LONG,BUY_B,OPP_SIGNAL,2025-09-05 06:00:00+00:00,112573,2025-09-05 14:00:00+00:00,112773,2.7326999999999995
SHORT,SELL_A,OPP_SIGNAL,2025-09-05 14:00:00+00:00,112773,2025-09-07 08:00:00+00:00,110773,182.8227
LONG,BUY_A,OPP_SIGNAL,2025-09-07 08:00:00+00:00,110773,2025-09-09 14:00:00+00:00,111773,82.8727
SHORT,SELL_A,OPP_SIGNAL,2025-09-09 14:00:00+00:00,111773,2025-09-10 02:00:00+00:00,111173,42.8527
LONG,BUY_A,OPP_SIGNAL,2025-09-10 02:00:00+00:00,111173,2025-09-12 06:00:00+00:00,115173,382.6827
SHORT,SELL_A,OPP_SIGNAL,2025-09-12 06:00:00+00:00,115173,2025-09-14 20:00:00+00:00,115773,-77.5473
LONG,BUY_A,OPP_SIGNAL,2025-09-14 20:00:00+00:00,115773,2025-09-17 16:00:00+00:00,115773,-17.5773
SHORT,SELL_A,OPP_SIGNAL,2025-09-17 16:00:00+00:00,115773,2025-09-23 06:00:00+00:00,112773,282.5727
LONG,BUY_A,OPP_SIGNAL,2025-09-23 06:00:00+00:00,112773,2025-10-04 10:00:00+00:00,122173,922.2527
SHORT,SELL_A,OPP_SIGNAL,2025-10-04 10:00:00+00:00,122173,2025-10-04 22:00:00+00:00,122173,-18.2173
LONG,BUY_A,OPP_SIGNAL,2025-10-04 22:00:00+00:00,122173,2025-10-07 02:00:00+00:00,124373,201.67270000000002
SHORT,SELL_A,OPP_SIGNAL,2025-10-07 02:00:00+00:00,124373,2025-10-08 00:00:00+00:00,121573,261.7027
LONG,BUY_A,OPP_SIGNAL,2025-10-08 00:00:00+00:00,121573,2025-10-09 00:00:00+00:00,123173,141.7627
SHORT,SELL_A,OPP_SIGNAL,2025-10-09 00:00:00+00:00,123173,2025-10-10 10:00:00+00:00,121373,161.77270000000001
LONG,BUY_A,OPP_SIGNAL,2025-10-10 10:00:00+00:00,121373,2025-10-10 20:00:00+00:00,116173,-537.8773000000001
SHORT,SELL_B,OPP_SIGNAL,2025-10-10 20:00:00+00:00,116173,2025-10-12 14:00:00+00:00,111773,422.6027000000001
LONG,BUY_A,OPP_SIGNAL,2025-10-12 14:00:00+00:00,111773,2025-10-13 10:00:00+00:00,114973,302.66270000000003
SHORT,SELL_A,OPP_SIGNAL,2025-10-13 10:00:00+00:00,114973,2025-10-13 12:00:00+00:00,114773,2.512699999999999
LONG,BUY_A,OPP_SIGNAL,2025-10-13 12:00:00+00:00,114773,2025-10-14 00:00:00+00:00,114573,-37.4673
SHORT,SELL_A,OPP_SIGNAL,2025-10-14 00:00:00+00:00,114573,2025-10-16 00:00:00+00:00,110973,342.7227
LONG,BUY_A,OPP_SIGNAL,2025-10-16 00:00:00+00:00,110973,2025-10-17 06:00:00+00:00,108173,-296.95730000000003
SHORT,SELL_B,OPP_SIGNAL,2025-10-17 06:00:00+00:00,108173,2025-10-18 00:00:00+00:00,106973,103.2427
LONG,BUY_A,OPP_SIGNAL,2025-10-18 00:00:00+00:00,106973,2025-10-18 04:00:00+00:00,106773,-36.6873
SHORT,SELL_A,OPP_SIGNAL,2025-10-18 04:00:00+00:00,106773,2025-10-18 10:00:00+00:00,106973,-36.6873
LONG,BUY_A,OPP_SIGNAL,2025-10-18 10:00:00+00:00,106973,2025-10-21 00:00:00+00:00,109973,283.1527
SHORT,SELL_A,OPP_SIGNAL,2025-10-21 00:00:00+00:00,109973,2025-10-21 14:00:00+00:00,111173,-137.0573
LONG,BUY_B,OPP_SIGNAL,2025-10-21 14:00:00+00:00,111173,2025-10-24 14:00:00+00:00,110373,-97.07730000000001
SHORT,SELL_A,OPP_SIGNAL,2025-10-24 14:00:00+00:00,110373,2025-10-26 22:00:00+00:00,114373,-417.2373
LONG,BUY_B,OPP_SIGNAL,2025-10-26 22:00:00+00:00,114373,2025-10-27 18:00:00+00:00,115373,82.51270000000001
SHORT,SELL_A,OPP_SIGNAL,2025-10-27 18:00:00+00:00,115373,2025-10-30 02:00:00+00:00,110573,462.7027
LONG,BUY_A,OPP_SIGNAL,2025-10-30 02:00:00+00:00,110573,2025-10-31 20:00:00+00:00,109573,-117.0073
SHORT,SELL_A,OPP_SIGNAL,2025-10-31 20:00:00+00:00,109573,2025-11-03 16:00:00+00:00,106173,323.2127
LONG,BUY_A,OPP_SIGNAL,2025-11-03 16:00:00+00:00,106173,2025-11-04 04:00:00+00:00,106573,23.3627
SHORT,SELL_A,OPP_SIGNAL,2025-11-04 04:00:00+00:00,106573,2025-11-04 22:00:00+00:00,100973,543.6227
LONG,BUY_A,OPP_SIGNAL,2025-11-04 22:00:00+00:00,100973,2025-11-06 16:00:00+00:00,101973,83.8527
SHORT,SELL_A,OPP_SIGNAL,2025-11-06 16:00:00+00:00,101973,2025-11-07 16:00:00+00:00,101573,23.8227
