datetime,close,high,low,renko_open,renko_close,renko_dir,renko_bull,renko_bear,st_bull,st_bear,st_line,swing_high,swing_low,last_swing_high,last_swing_low,bo_buy,bo_sell,rev_buy,rev_sell,buy_signal,sell_signal
2024-09-12 14:00:00+00:00,57495.5,58570.0,57400.0,57800.0,57600.0,-1,False,True,True,False,56073.578658921884,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 16:00:00+00:00,58382.5,58405.0,57483.5,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,,59600.0,55800.0,False,False,False,False,False,False
2024-09-12 18:00:00+00:00,58378.5,58449.5,57955.5,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,57600.0,59600.0,57600.0,False,False,False,False,False,False
2024-09-12 20:00:00+00:00,57907.5,58386.0,57774.5,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-12 22:00:00+00:00,58121.5,58251.0,57897.0,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 00:00:00+00:00,58116.5,58249.5,57873.5,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 02:00:00+00:00,57847.0,58166.0,57824.0,58000.0,58200.0,1,True,False,True,False,56073.578658921884,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 04:00:00+00:00,57933.0,58020.5,57817.0,58000.0,58200.0,1,True,False,True,False,56106.72144369378,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 06:00:00+00:00,58101.5,58132.0,57731.0,58000.0,58200.0,1,True,False,True,False,56161.077154955026,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 08:00:00+00:00,58051.0,58143.5,57918.0,58000.0,58200.0,1,True,False,True,False,56434.011723964024,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 10:00:00+00:00,57875.0,58342.5,57816.0,58000.0,58200.0,1,True,False,True,False,56434.011723964024,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 12:00:00+00:00,58041.0,58156.0,57616.5,58000.0,58200.0,1,True,False,True,False,56434.011723964024,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 14:00:00+00:00,59651.0,59728.5,57826.5,59400.0,59600.0,1,True,False,True,False,56434.011723964024,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 16:00:00+00:00,59573.0,59972.5,59312.0,59400.0,59600.0,1,True,False,True,False,56750.66760213566,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 18:00:00+00:00,59712.0,59996.5,59458.5,59400.0,59600.0,1,True,False,True,False,56983.834081708526,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-13 20:00:00+00:00,60265.0,60344.5,59611.5,60000.0,60200.0,1,True,False,True,False,57196.66726536682,,,59600.0,57600.0,True,False,False,False,True,False
2024-09-13 22:00:00+00:00,60479.5,60619.5,60220.0,60200.0,60400.0,1,True,False,True,False,57875.08381229346,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 00:00:00+00:00,60390.0,60597.5,60363.5,60200.0,60400.0,1,True,False,True,False,58257.56704983477,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 02:00:00+00:00,60315.5,60488.5,60276.5,60200.0,60400.0,1,True,False,True,False,58434.553639867816,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 04:00:00+00:00,59925.0,60343.5,59912.0,60200.0,60400.0,1,True,False,True,False,58434.553639867816,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 06:00:00+00:00,60135.0,60180.0,59891.0,60200.0,60400.0,1,True,False,True,False,58434.553639867816,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 08:00:00+00:00,60066.5,60154.5,59869.0,60200.0,60400.0,1,True,False,True,False,58434.553639867816,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 10:00:00+00:00,59704.5,60065.0,59605.0,60000.0,59800.0,-1,False,True,True,False,58434.553639867816,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 12:00:00+00:00,59762.5,59856.0,59633.5,60000.0,59800.0,-1,False,True,True,False,58434.553639867816,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 14:00:00+00:00,59870.0,60009.0,59693.5,60000.0,59800.0,-1,False,True,True,False,58434.553639867816,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 16:00:00+00:00,59882.0,59977.5,59822.5,60000.0,59800.0,-1,False,True,True,False,58602.8112746956,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 18:00:00+00:00,59800.0,59905.5,59423.0,60000.0,59800.0,-1,False,True,True,False,58602.8112746956,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 20:00:00+00:00,60025.0,60139.0,59763.5,60000.0,59800.0,-1,False,True,True,False,58602.8112746956,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-14 22:00:00+00:00,59984.5,60125.0,59931.5,60000.0,59800.0,-1,False,True,True,False,58721.929372644154,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 00:00:00+00:00,60217.0,60262.5,59973.5,60000.0,59800.0,-1,False,True,True,False,58841.74349811532,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 02:00:00+00:00,60155.5,60255.0,60102.0,60000.0,59800.0,-1,False,True,True,False,59035.09479849225,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 04:00:00+00:00,60204.0,60212.5,60072.0,60000.0,59800.0,-1,False,True,True,False,59115.12583879381,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 06:00:00+00:00,60190.0,60212.5,60117.0,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 08:00:00+00:00,60010.0,60202.0,60001.0,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 10:00:00+00:00,60000.0,60047.5,59873.5,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 12:00:00+00:00,60179.5,60349.5,59944.5,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 14:00:00+00:00,60328.0,60394.5,59860.5,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 16:00:00+00:00,59813.0,60348.0,59685.5,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 18:00:00+00:00,59872.0,60186.5,59735.5,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 20:00:00+00:00,59646.0,59934.5,59469.5,60000.0,59800.0,-1,False,True,True,False,59266.650671035044,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-15 22:00:00+00:00,59131.0,59671.0,58678.0,59400.0,59200.0,-1,False,True,False,True,60803.12357053757,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 00:00:00+00:00,58601.0,59206.5,58420.5,59000.0,58800.0,-1,False,True,False,True,60803.12357053757,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 02:00:00+00:00,58570.0,58660.0,58105.0,58800.0,58600.0,-1,False,True,False,True,60671.178498096,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 04:00:00+00:00,58660.0,58670.0,58305.0,58800.0,58600.0,-1,False,True,False,True,60610.4427984768,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 06:00:00+00:00,58896.5,58959.5,58618.5,58800.0,58600.0,-1,False,True,False,True,60610.4427984768,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 08:00:00+00:00,58631.0,59178.5,58580.0,58800.0,58600.0,-1,False,True,False,True,60610.4427984768,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 10:00:00+00:00,58660.0,58840.0,58497.5,58800.0,58600.0,-1,False,True,False,True,60587.32871282012,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 12:00:00+00:00,58498.5,58790.0,58026.5,58800.0,58600.0,-1,False,True,False,True,60553.9129702561,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 14:00:00+00:00,57882.5,58558.0,57571.5,58200.0,58000.0,-1,False,True,False,True,60553.9129702561,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 16:00:00+00:00,58171.0,58276.5,57500.0,58200.0,58000.0,-1,False,True,False,True,60514.034300963904,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 18:00:00+00:00,57939.0,58192.0,57697.0,58200.0,58000.0,-1,False,True,False,True,60441.127440771124,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 20:00:00+00:00,57997.5,58173.5,57607.5,58200.0,58000.0,-1,False,True,False,True,60340.6019526169,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-16 22:00:00+00:00,58216.0,58418.0,57842.5,58200.0,58000.0,-1,False,True,False,True,60340.6019526169,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-17 00:00:00+00:00,57890.5,58343.5,57611.5,58200.0,58000.0,-1,False,True,False,True,60340.6019526169,,,59600.0,57600.0,False,False,False,False,False,False
2024-09-17 02:00:00+00:00,58059.0,58216.0,57833.0,58200.0,58000.0,-1,False,True,False,True,60340.6019526169,,,59600.0,57600.0,False,False,False,False,False,False
