REAL DELTA FILLS-BASED REPORT: 2026-08-21 to 2026-09-26 (UTC)

=== DATE: 2026-08-21 ===

S4 | BT trades: 7 | LIVE trades: 5
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
| short | NO_BT_SIGNAL vs 03:40/77030.81 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 03:45/77007.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 03:50/77036.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 03:55/76986.83 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 04:00/76972.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 04:05/77061.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 04:10/77022.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 04:15/77056.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 04:20/77174.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 04:25/77182.82 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 04:35/77217.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 04:40/77172.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 04:45/77128.88 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 04:50/76955.2 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 04:55/76831.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 05:00/76873.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 05:05/76950.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 05:10/77037.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 05:15/77217.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 05:20/77039.77 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 05:25/77045.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 05:30/77011.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 05:35/76957.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 05:40/77016.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 05:45/77088.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 05:50/77053.69 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 05:55/77116.37 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:00/77146.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:05/77086.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:10/77189.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:15/77393.29 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:20/77363.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:25/77388.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:30/77360.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:35/77267.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:40/77250.0 | - | - | - | - | UNMATCHED_LV_TRADE |
