trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
38,RE_ENTRY,SL_HIT_SUPERTREND,2026-01-22 14:00:00,2026-01-22 14:00:00,short,89064.5,89717.0,1,0,89.06,100.0,-0.65,-5.75,-483.21,-0.01,0.0,0.0,652.5,0.73,-229.76,-19299.82,-0.23,8.91,0.1,5,0.0,0,0.0,5.1,85738.68
39,RE_ENTRY,SL_HIT_SUPERTREND,2026-01-23 09:00:00,2026-01-23 09:00:00,short,88949.0,89359.0,1,0,88.95,100.0,-0.41,-5.51,-462.84,-0.01,0.0,0.0,410.0,0.46,-235.27,-19762.66,-0.24,8.89,0.1,5,0.0,0,0.0,5.1,85738.68
40,RE_ENTRY,SL_HIT_SUPERTREND,2026-01-25 08:00:00,2026-01-25 08:00:00,short,88263.0,88736.5,1,0,88.26,100.0,-0.47,-5.57,-468.17,-0.01,0.0,0.0,473.5,0.54,-240.84,-20230.83,-0.24,8.83,0.1,5,0.0,0,0.0,5.1,85738.68
41,RE_ENTRY,SL_HIT_SUPERTREND,2026-01-26 20:00:00,2026-01-26 20:00:00,short,87605.0,88097.0,1,0,87.61,100.0,-0.49,-5.59,-469.73,-0.01,0.0,0.0,492.0,0.56,-246.44,-20700.56,-0.25,8.76,0.1,5,0.0,0,0.0,5.1,85738.68
42,RE_ENTRY,SL_HIT_SUPERTREND,2026-01-27 17:00:00,2026-01-27 17:00:00,short,87518.5,88670.0,1,0,87.52,100.0,-1.15,-6.25,-525.13,-0.01,0.0,0.0,1151.5,1.32,-252.69,-21225.69,-0.25,8.75,0.1,5,0.0,0,0.0,5.1,85738.68
43,RE_ENTRY,DOUBLE_TOP,2026-01-31 19:00:00,2026-02-01 09:00:00,short,77715.0,79005.0,1,0,77.72,100.0,-1.29,-6.41,-538.23,-0.01,0.0,0.0,1290.0,1.66,-259.09,-21763.92,-0.26,7.77,0.1,5,0.02,0,0.0,5.12,82366.49
44,RE_ENTRY,DOUBLE_TOP,2026-02-03 02:00:00,2026-02-03 07:00:00,short,77782.0,78757.0,1,0,77.78,100.0,-0.97,-6.08,-510.82,-0.01,0.0,0.0,975.0,1.25,-265.18,-22274.74,-0.27,7.78,0.1,5,0.01,0,0.0,5.11,79314.68
45,RE_ENTRY,DOUBLE_TOP,2026-02-04 17:00:00,2026-02-06 01:00:00,short,72551.0,65672.0,1,0,72.55,100.0,6.88,1.74,146.08,0.0,6879.0,9.48,0.0,0.0,-263.44,-22128.67,-0.26,7.26,0.1,5,0.04,0,0.0,5.14,76378.22
46,RE_ENTRY,SL_HIT_SUPERTREND,2026-02-07 00:00:00,2026-02-07 00:00:00,short,69924.5,70569.0,1,0,69.92,100.0,-0.64,-5.74,-482.54,-0.01,0.0,0.0,644.5,0.92,-269.18,-22611.2,-0.27,6.99,0.1,5,0.0,0,0.0,5.1,68766.23
47,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-02-14 05:00:00,2026-02-14 05:00:00,short,68745.5,68885.5,1,0,68.75,100.0,-0.14,-5.24,-440.16,-0.01,0.0,0.0,140.0,0.2,-274.42,-23051.36,-0.27,6.87,0.1,5,0.0,0,0.0,5.1,67635.39
48,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-02-15 19:00:00,2026-02-15 19:00:00,short,68270.0,68550.0,1,0,68.27,100.0,-0.28,-5.38,-451.92,-0.01,0.0,0.0,280.0,0.41,-279.8,-23503.28,-0.28,6.83,0.1,5,0.0,0,0.0,5.1,67635.39
49,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-02-16 15:00:00,2026-02-16 15:00:00,short,67513.0,68573.0,1,0,67.51,100.0,-1.06,-6.16,-517.44,-0.01,0.0,0.0,1060.0,1.57,-285.96,-24020.72,-0.29,6.75,0.1,5,0.0,0,0.0,5.1,67635.39
50,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-02-26 07:00:00,2026-02-26 07:00:00,short,67806.0,68273.0,1,0,67.81,100.0,-0.47,-5.57,-467.63,-0.01,0.0,0.0,467.0,0.69,-291.53,-24488.35,-0.29,6.78,0.1,5,0.0,0,0.0,5.1,64233.41
51,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-02-27 12:00:00,2026-02-27 12:00:00,short,65913.0,66201.5,1,0,65.91,100.0,-0.29,-5.39,-452.63,-0.01,0.0,0.0,288.5,0.44,-296.92,-24940.99,-0.3,6.59,0.1,5,0.0,0,0.0,5.1,64233.41
52,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-05 17:00:00,2026-03-05 17:00:00,short,70678.0,71545.0,1,0,70.68,100.0,-0.87,-5.97,-501.23,-0.01,0.0,0.0,867.0,1.23,-302.88,-25442.21,-0.3,7.07,0.1,5,0.0,0,0.0,5.1,64233.41
53,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-06 05:00:00,2026-03-06 05:00:00,short,70403.0,70636.5,1,0,70.4,100.0,-0.23,-5.33,-448.01,-0.01,0.0,0.0,233.5,0.33,-308.22,-25890.23,-0.31,7.04,0.1,5,0.0,0,0.0,5.1,64233.41
54,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-10 21:00:00,2026-03-10 21:00:00,short,69718.5,70382.5,1,0,69.72,100.0,-0.66,-5.76,-484.18,-0.01,0.0,0.0,664.0,0.95,-313.98,-26374.4,-0.31,6.97,0.1,5,0.0,0,0.0,5.1,64233.41
55,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-12 02:00:00,2026-03-12 02:00:00,short,69250.0,69852.0,1,0,69.25,100.0,-0.6,-5.7,-478.97,-0.01,0.0,0.0,602.0,0.87,-319.68,-26853.37,-0.32,6.92,0.1,5,0.0,0,0.0,5.1,64233.41
56,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-14 00:00:00,2026-03-14 00:00:00,short,70607.0,70927.5,1,0,70.61,100.0,-0.32,-5.42,-455.32,-0.01,0.0,0.0,320.5,0.45,-325.1,-27308.69,-0.33,7.06,0.1,5,0.0,0,0.0,5.1,64233.41
57,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-15 18:00:00,2026-03-15 18:00:00,short,71353.5,71863.5,1,0,71.35,100.0,-0.51,-5.61,-471.24,-0.01,0.0,0.0,510.0,0.71,-330.71,-27779.93,-0.33,7.14,0.1,5,0.0,0,0.0,5.1,64233.41
58,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-17 23:00:00,2026-03-17 23:00:00,short,73879.0,74364.5,1,0,73.88,100.0,-0.49,-5.59,-469.18,-0.01,0.0,0.0,485.5,0.66,-336.3,-28249.12,-0.34,7.39,0.1,5,0.0,0,0.0,5.1,64233.41
59,FIRST_ENTRY,SL_HIT_SUPERTREND,2026-03-20 14:00:00,2026-03-20 14:00:00,short,69712.0,70243.5,1,0,69.71,100.0,-0.53,-5.63,-473.05,-0.01,0.0,0.0,531.5,0.76,-341.93,-28722.16,-0.34,6.97,0.1,5,0.0,0,0.0,5.1,64233.41
60,RE_ENTRY,SL_HIT_SUPERTREND,2026-03-29 17:00:00,2026-03-29 17:00:00,short,66364.0,66526.0,1,0,66.36,100.0,-0.16,-5.26,-442.01,-0.01,0.0,0.0,162.0,0.24,-347.19,-29164.17,-0.35,6.64,0.1,5,0.0,0,0.0,5.1,64233.41
