label,sig_ts,detected_at,lag_sec,exceeds_floor,gate_lockout_signature,direction,price_then,price_now,est_damage_usd
S4V2,2026-09-17T01:30:00+00:00,1789610400.900399,1800.9,True,False,short,76439.5,76342.0,9.75
S4,2026-09-16T22:00:00+00:00,1789610402.015616,14402.0,True,True,short,76052.0,76342.0,29.0
S4,2026-09-16T22:00:00+00:00,1789610402.015616,14402.0,True,True,long,76052.0,76342.0,29.0
S4V2,2026-09-17T02:30:00+00:00,1789614000.462582,1800.5,True,False,short,76299.5,76350.5,5.1
S4V2,2026-09-17T02:30:00+00:00,1789614000.462582,1800.5,True,False,long,76391.5,76350.5,4.1
S4V2,2026-09-17T04:00:00+00:00,1789619401.249591,1801.2,True,False,long,76298.0,76184.0,11.4
S4V2,2026-09-17T04:00:00+00:00,1789619401.249591,1801.2,True,False,short,76298.0,76184.0,11.4
S4V2,2026-09-17T04:30:00+00:00,1789621200.864891,1800.9,True,False,short,76284.5,76511.5,22.7
S4V2,2026-09-17T04:30:00+00:00,1789621200.864891,1800.9,True,False,long,76330.5,76511.5,18.1
S4V2,2026-09-17T05:30:00+00:00,1789624800.928483,1800.9,True,False,long,76396.5,76299.0,9.75
S4V2,2026-09-17T05:30:00+00:00,1789624800.928483,1800.9,True,False,short,76350.5,76299.0,5.15
S4V2,2026-09-17T06:00:00+00:00,1789626600.982502,1801.0,True,False,short,76440.0,76410.0,3.0
S4V2,2026-09-17T06:00:00+00:00,1789628400.490294,3600.5,True,True,long,76455.0,76456.0,0.1
S4V3,2026-09-16T16:00:00+00:00,1789632002.219526,57602.2,True,True,long,75829.5,76441.0,61.15
S4V2,2026-09-17T09:30:00+00:00,1789639200.544934,1800.5,True,False,long,76483.5,76446.0,3.75
S4V2,2026-09-17T09:30:00+00:00,1789639200.544934,1800.5,True,False,short,76483.5,76446.0,3.75
S4,2026-09-17T04:00:00+00:00,1789639201.559221,21601.6,True,True,long,76259.5,76445.5,18.6
S4,2026-09-17T04:00:00+00:00,1789639201.559221,21601.6,True,True,short,76259.5,76445.5,18.6
S4V2,2026-09-17T11:30:00+00:00,1789646400.576083,1800.6,True,False,short,76457.0,76462.5,0.55
S4V2,2026-09-17T11:30:00+00:00,1789646400.576083,1800.6,True,False,long,76503.0,76462.5,4.05
S4V2,2026-09-17T12:30:00+00:00,1789650000.547687,1800.5,True,False,long,76825.0,76706.0,11.9
S4V2,2026-09-17T12:30:00+00:00,1789650000.547687,1800.5,True,False,short,76825.0,76706.0,11.9
S4V2,2026-09-17T13:30:00+00:00,1789653600.570197,1800.6,True,False,short,76595.0,76679.5,8.45
S4V2,2026-09-17T13:30:00+00:00,1789653600.570197,1800.6,True,False,long,76641.0,76679.5,3.85
S4V2,2026-09-17T14:30:00+00:00,1789657200.700085,1800.7,True,False,long,76779.0,76477.0,30.2
S4V2,2026-09-17T14:30:00+00:00,1789657200.700085,1800.7,True,False,short,76733.0,76477.0,25.6
S4V2,2026-09-17T15:30:00+00:00,1789660800.445489,1800.4,True,False,short,76595.0,76759.0,16.4
S4V2,2026-09-17T15:30:00+00:00,1789660800.445489,1800.4,True,False,long,76641.0,76759.0,11.8
S4V2,2026-09-17T17:30:00+00:00,1789668000.996235,1801.0,True,False,long,76733.0,76649.5,8.35
S4V2,2026-09-17T17:30:00+00:00,1789668000.996235,1801.0,True,False,short,76687.0,76649.5,3.75
S4,2026-09-17T18:00:00+00:00,1789675202.192964,7202.2,True,False,short,76595.0,76568.5,2.65
S4V2,2026-09-17T20:00:00+00:00,1789677001.49717,1801.5,True,False,short,76687.0,76686.5,0.05
S4V2,2026-09-17T20:30:00+00:00,1789678802.54406,1802.5,True,False,short,76549.0,76538.0,1.1
S4V2,2026-09-17T22:30:00+00:00,1789686002.460697,1802.5,True,False,long,76411.0,76394.5,1.65
S4V2,2026-09-18T00:00:00+00:00,1789691402.434383,1802.4,True,False,long,76319.0,76353.0,3.4
S4V2,2026-09-18T00:30:00+00:00,1789693203.003033,1803.0,True,False,long,76457.0,76561.5,10.45
S4,2026-09-18T00:00:00+00:00,1789696803.235291,7203.2,True,False,short,76549.0,76712.5,16.35
S4,2026-09-18T00:00:00+00:00,1789696803.235291,7203.2,True,False,long,76641.0,76712.5,7.15
S4V3,2026-09-18T00:00:00+00:00,1789704003.092126,14403.1,True,False,long,76549.0,77357.0,80.8
